Commodity2,Attribute,Unit,YearProjected2,Year2,Value
Soybeans,Planted acres,Million acres,2000,1998/99,72.0
Soybeans,Planted acres,Million acres,2000,1999/00,74.1
Soybeans,Planted acres,Million acres,2000,2000/01,75.0
Soybeans,Planted acres,Million acres,2000,2001/02,74.0
Soybeans,Planted acres,Million acres,2000,2002/03,72.8
Soybeans,Planted acres,Million acres,2000,2003/04,71.5
Soybeans,Planted acres,Million acres,2000,2004/05,70.5
Soybeans,Planted acres,Million acres,2000,2005/06,70.3
Soybeans,Planted acres,Million acres,2000,2006/07,70.8
Soybeans,Planted acres,Million acres,2000,2007/08,71.3
Soybeans,Planted acres,Million acres,2000,2008/09,71.8
Soybeans,Planted acres,Million acres,2000,2009/10,71.5
Soybeans,Planted acres,Million acres,2001,1999/00,73.7
Soybeans,Planted acres,Million acres,2001,2000/01,74.5
Soybeans,Planted acres,Million acres,2001,2001/02,75.0
Soybeans,Planted acres,Million acres,2001,2002/03,74.0
Soybeans,Planted acres,Million acres,2001,2003/04,73.0
Soybeans,Planted acres,Million acres,2001,2004/05,73.0
Soybeans,Planted acres,Million acres,2001,2005/06,73.5
Soybeans,Planted acres,Million acres,2001,2006/07,74.0
Soybeans,Planted acres,Million acres,2001,2007/08,74.0
Soybeans,Planted acres,Million acres,2001,2008/09,74.3
Soybeans,Planted acres,Million acres,2001,2009/10,74.5
Soybeans,Planted acres,Million acres,2001,2010/11,74.8
Soybeans,Planted acres,Million acres,2002,2000/01,74.3
Soybeans,Planted acres,Million acres,2002,2001/02,75.2
Soybeans,Planted acres,Million acres,2002,2002/03,75.5
Soybeans,Planted acres,Million acres,2002,2003/04,74.5
Soybeans,Planted acres,Million acres,2002,2004/05,74.0
Soybeans,Planted acres,Million acres,2002,2005/06,73.8
Soybeans,Planted acres,Million acres,2002,2006/07,74.3
Soybeans,Planted acres,Million acres,2002,2007/08,75.0
Soybeans,Planted acres,Million acres,2002,2008/09,75.5
Soybeans,Planted acres,Million acres,2002,2009/10,75.8
Soybeans,Planted acres,Million acres,2002,2010/11,76.0
Soybeans,Planted acres,Million acres,2002,2011/12,76.3
Soybeans,Planted acres,Million acres,2003,2001/02,74.1
Soybeans,Planted acres,Million acres,2003,2002/03,73.0
Soybeans,Planted acres,Million acres,2003,2003/04,71.5
Soybeans,Planted acres,Million acres,2003,2004/05,72.5
Soybeans,Planted acres,Million acres,2003,2005/06,72.5
Soybeans,Planted acres,Million acres,2003,2006/07,72.8
Soybeans,Planted acres,Million acres,2003,2007/08,72.8
Soybeans,Planted acres,Million acres,2003,2008/09,72.8
Soybeans,Planted acres,Million acres,2003,2009/10,73.0
Soybeans,Planted acres,Million acres,2003,2010/11,73.0
Soybeans,Planted acres,Million acres,2003,2011/12,73.0
Soybeans,Planted acres,Million acres,2003,2012/13,73.3
Soybeans,Planted acres,Million acres,2004,2002/03,73.9
Soybeans,Planted acres,Million acres,2004,2003/04,73.6
Soybeans,Planted acres,Million acres,2004,2004/05,74.0
Soybeans,Planted acres,Million acres,2004,2005/06,73.3
Soybeans,Planted acres,Million acres,2004,2006/07,72.8
Soybeans,Planted acres,Million acres,2004,2007/08,72.3
Soybeans,Planted acres,Million acres,2004,2008/09,72.3
Soybeans,Planted acres,Million acres,2004,2009/10,72.5
Soybeans,Planted acres,Million acres,2004,2010/11,72.5
Soybeans,Planted acres,Million acres,2004,2011/12,72.8
Soybeans,Planted acres,Million acres,2004,2012/13,72.5
Soybeans,Planted acres,Million acres,2004,2013/14,72.5
Soybeans,Planted acres,Million acres,2005,2003/04,73.4
Soybeans,Planted acres,Million acres,2005,2004/05,75.1
Soybeans,Planted acres,Million acres,2005,2005/06,74.0
Soybeans,Planted acres,Million acres,2005,2006/07,73.8
Soybeans,Planted acres,Million acres,2005,2007/08,73.3
Soybeans,Planted acres,Million acres,2005,2008/09,73.0
Soybeans,Planted acres,Million acres,2005,2009/10,72.8
Soybeans,Planted acres,Million acres,2005,2010/11,73.0
Soybeans,Planted acres,Million acres,2005,2011/12,73.0
Soybeans,Planted acres,Million acres,2005,2012/13,72.8
Soybeans,Planted acres,Million acres,2005,2013/14,72.8
Soybeans,Planted acres,Million acres,2005,2014/15,72.8
Soybeans,Planted acres,Million acres,2006,2004/05,75.2
Soybeans,Planted acres,Million acres,2006,2005/06,72.2
Soybeans,Planted acres,Million acres,2006,2006/07,73.5
Soybeans,Planted acres,Million acres,2006,2007/08,73.3
Soybeans,Planted acres,Million acres,2006,2008/09,72.5
Soybeans,Planted acres,Million acres,2006,2009/10,72.0
Soybeans,Planted acres,Million acres,2006,2010/11,71.5
Soybeans,Planted acres,Million acres,2006,2011/12,71.3
Soybeans,Planted acres,Million acres,2006,2012/13,71.0
Soybeans,Planted acres,Million acres,2006,2013/14,70.8
