Domain;Area;Element;Item;Year;Yield
Crops and livestock products;United States of America;Yield;Maize (corn);1961;39184
Crops and livestock products;United States of America;Yield;Maize (corn);1962;40621
Crops and livestock products;United States of America;Yield;Maize (corn);1963;42596
Crops and livestock products;United States of America;Yield;Maize (corn);1964;39498
Crops and livestock products;United States of America;Yield;Maize (corn);1965;46492
Crops and livestock products;United States of America;Yield;Maize (corn);1966;45892
Crops and livestock products;United States of America;Yield;Maize (corn);1967;50265
Crops and livestock products;United States of America;Yield;Maize (corn);1968;49891
Crops and livestock products;United States of America;Yield;Maize (corn);1969;53908
Crops and livestock products;United States of America;Yield;Maize (corn);1970;45439
Crops and livestock products;United States of America;Yield;Maize (corn);1971;55270
Crops and livestock products;United States of America;Yield;Maize (corn);1972;60897
Crops and livestock products;United States of America;Yield;Maize (corn);1973;57278
Crops and livestock products;United States of America;Yield;Maize (corn);1974;45119
Crops and livestock products;United States of America;Yield;Maize (corn);1975;54213
Crops and livestock products;United States of America;Yield;Maize (corn);1976;55206
Crops and livestock products;United States of America;Yield;Maize (corn);1977;57015
Crops and livestock products;United States of America;Yield;Maize (corn);1978;63421
Crops and livestock products;United States of America;Yield;Maize (corn);1979;68734
Crops and livestock products;United States of America;Yield;Maize (corn);1980;57118
Crops and livestock products;United States of America;Yield;Maize (corn);1981;68380
Crops and livestock products;United States of America;Yield;Maize (corn);1982;71082
Crops and livestock products;United States of America;Yield;Maize (corn);1983;50893
Crops and livestock products;United States of America;Yield;Maize (corn);1984;66981
Crops and livestock products;United States of America;Yield;Maize (corn);1985;74074
Crops and livestock products;United States of America;Yield;Maize (corn);1986;74930
Crops and livestock products;United States of America;Yield;Maize (corn);1987;75225
Crops and livestock products;United States of America;Yield;Maize (corn);1988;53109
Crops and livestock products;United States of America;Yield;Maize (corn);1989;72978
Crops and livestock products;United States of America;Yield;Maize (corn);1990;74380
Crops and livestock products;United States of America;Yield;Maize (corn);1991;68171
Crops and livestock products;United States of America;Yield;Maize (corn);1992;82526
Crops and livestock products;United States of America;Yield;Maize (corn);1993;63210
Crops and livestock products;United States of America;Yield;Maize (corn);1994;86996
Crops and livestock products;United States of America;Yield;Maize (corn);1995;71228
Crops and livestock products;United States of America;Yield;Maize (corn);1996;79773
Crops and livestock products;United States of America;Yield;Maize (corn);1997;79521
Crops and livestock products;United States of America;Yield;Maize (corn);1998;84382
Crops and livestock products;United States of America;Yield;Maize (corn);1999;83977
Crops and livestock products;United States of America;Yield;Maize (corn);2000;85911
Crops and livestock products;United States of America;Yield;Maize (corn);2001;86733
Crops and livestock products;United States of America;Yield;Maize (corn);2002;81180
Crops and livestock products;United States of America;Yield;Maize (corn);2003;89246
Crops and livestock products;United States of America;Yield;Maize (corn);2004;100637
Crops and livestock products;United States of America;Yield;Maize (corn);2005;92852
Crops and livestock products;United States of America;Yield;Maize (corn);2006;93577
Crops and livestock products;United States of America;Yield;Maize (corn);2007;94585
Crops and livestock products;United States of America;Yield;Maize (corn);2008;96209
Crops and livestock products;United States of America;Yield;Maize (corn);2009;103181
Crops and livestock products;United States of America;Yield;Maize (corn);2010;95757
Crops and livestock products;United States of America;Yield;Maize (corn);2011;92146
Crops and livestock products;United States of America;Yield;Maize (corn);2012;77270
Crops and livestock products;United States of America;Yield;Maize (corn);2013;99256
Crops and livestock products;United States of America;Yield;Maize (corn);2014;107326
Crops and livestock products;United States of America;Yield;Maize (corn);2015;105723
Crops and livestock products;United States of America;Yield;Maize (corn);2016;117433
Crops and livestock products;United States of America;Yield;Maize (corn);2017;110837
Crops and livestock products;United States of America;Yield;Maize (corn);2018;110746
Crops and livestock products;United States of America;Yield;Maize (corn);2019;105104
Crops and livestock products;United States of America;Yield;Maize (corn);2020;107605
Crops and livestock products;United States of America;Yield;Maize (corn);2021;111109
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1961;13486
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1962;13963
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1963;15557
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1964;15744
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1965;15933
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1966;14675
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1967;14006
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1968;16022
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1969;13115
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1970;13091
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1971;13200
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1972;14990
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1973;15225
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1974;13006
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1975;13279
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1976;13683
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1977;15155
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1978;12428
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1979;16230
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1980;12113
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1981;16442
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1982;17537
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1983;15075
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1984;17851
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1985;18632
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1986;16245
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1987;20812
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1988;18312
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1989;17868
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1990;18512
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1991;19291
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1992;20361
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1993;17912
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1994;20735
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1995;15607
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1996;20689
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1997;19137
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1998;18265
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;1999;17409
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2000;18138
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2001;19980
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2002;18620
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2003;20628
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2004;23731
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2005;23052
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2006;22619
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2007;23933
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2008;21846
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2009;21062
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2010;21881
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2011;25448
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2012;27251
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2013;24977
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2014;25886
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2015;25917
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2016;26206
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2017;26713
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2018;26914
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2019;27216
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2020;27556
Crops and livestock products;United States of America;Yield;Seed cotton, unginned;2021;27879
Crops and livestock products;United States of America;Yield;Soya beans;1961;16900
Crops and livestock products;United States of America;Yield;Soya beans;1962;16302
Crops and livestock products;United States of America;Yield;Soya beans;1963;16432
Crops and livestock products;United States of America;Yield;Soya beans;1964;15309
Crops and livestock products;United States of America;Yield;Soya beans;1965;16508
Crops and livestock products;United States of America;Yield;Soya beans;1966;17087
Crops and livestock products;United States of America;Yield;Soya beans;1967;16498
Crops and livestock products;United States of America;Yield;Soya beans;1968;17986
Crops and livestock products;United States of America;Yield;Soya beans;1969;18435
Crops and livestock products;United States of America;Yield;Soya beans;1970;17941
Crops and livestock products;United States of America;Yield;Soya beans;1971;18522
Crops and livestock products;United States of America;Yield;Soya beans;1972;18706
Crops and livestock products;United States of America;Yield;Soya beans;1973;18696
Crops and livestock products;United States of America;Yield;Soya beans;1974;15933
Crops and livestock products;United States of America;Yield;Soya beans;1975;19421
Crops and livestock products;United States of America;Yield;Soya beans;1976;17543
Crops and livestock products;United States of America;Yield;Soya beans;1977;20552
Crops and livestock products;United States of America;Yield;Soya beans;1978;19741
Crops and livestock products;United States of America;Yield;Soya beans;1979;21614
Crops and livestock products;United States of America;Yield;Soya beans;1980;17827
Crops and livestock products;United States of America;Yield;Soya beans;1981;20331
Crops and livestock products;United States of America;Yield;Soya beans;1982;21213
Crops and livestock products;United States of America;Yield;Soya beans;1983;17594
Crops and livestock products;United States of America;Yield;Soya beans;1984;18930
Crops and livestock products;United States of America;Yield;Soya beans;1985;22923
Crops and livestock products;United States of America;Yield;Soya beans;1986;22411
Crops and livestock products;United States of America;Yield;Soya beans;1987;22794
Crops and livestock products;United States of America;Yield;Soya beans;1988;18155
Crops and livestock products;United States of America;Yield;Soya beans;1989;21783
Crops and livestock products;United States of America;Yield;Soya beans;1990;22920
Crops and livestock products;United States of America;Yield;Soya beans;1991;23029
Crops and livestock products;United States of America;Yield;Soya beans;1992;25295
Crops and livestock products;United States of America;Yield;Soya beans;1993;21941
Crops and livestock products;United States of America;Yield;Soya beans;1994;27813
Crops and livestock products;United States of America;Yield;Soya beans;1995;23759
Crops and livestock products;United States of America;Yield;Soya beans;1996;25269
Crops and livestock products;United States of America;Yield;Soya beans;1997;26164
Crops and livestock products;United States of America;Yield;Soya beans;1998;26169
Crops and livestock products;United States of America;Yield;Soya beans;1999;24634
Crops and livestock products;United States of America;Yield;Soya beans;2000;25614
Crops and livestock products;United States of America;Yield;Soya beans;2001;26639
Crops and livestock products;United States of America;Yield;Soya beans;2002;25567
Crops and livestock products;United States of America;Yield;Soya beans;2003;22769
Crops and livestock products;United States of America;Yield;Soya beans;2004;28405
Crops and livestock products;United States of America;Yield;Soya beans;2005;28961
Crops and livestock products;United States of America;Yield;Soya beans;2006;28817
Crops and livestock products;United States of America;Yield;Soya beans;2007;28067
Crops and livestock products;United States of America;Yield;Soya beans;2008;26718
Crops and livestock products;United States of America;Yield;Soya beans;2009;29595
Crops and livestock products;United States of America;Yield;Soya beans;2010;29243
Crops and livestock products;United States of America;Yield;Soya beans;2011;28232
Crops and livestock products;United States of America;Yield;Soya beans;2012;26867
Crops and livestock products;United States of America;Yield;Soya beans;2013;29615
Crops and livestock products;United States of America;Yield;Soya beans;2014;31977
Crops and livestock products;United States of America;Yield;Soya beans;2015;32289
Crops and livestock products;United States of America;Yield;Soya beans;2016;34936
Crops and livestock products;United States of America;Yield;Soya beans;2017;33133
Crops and livestock products;United States of America;Yield;Soya beans;2018;33997
Crops and livestock products;United States of America;Yield;Soya beans;2019;31875
Crops and livestock products;United States of America;Yield;Soya beans;2020;34327
Crops and livestock products;United States of America;Yield;Soya beans;2021;34549
